Block,GISJOIN,FIPS,ADI_NATRANK,ADI_STATERNK
202475,G48003906622004,480396622004,54,4
202476,G48003906623001,480396623001,68,6
202477,G48003906623002,480396623002,83,8
202478,G48003906623003,480396623003,84,8
202479,G48003906623004,480396623004,64,6
202480,G48003906624001,480396624001,81,8
202481,G48003906624002,480396624002,82,8
202482,G48003906624003,480396624003,50,4
202483,G48003906624004,480396624004,45,4
202484,G48003906625001,480396625001,31,2
202485,G48003906625002,480396625002,90,9
202486,G48003906626001,480396626001,64,6
202487,G48003906626002,480396626002,87,9
202488,G48003906626003,480396626003,86,9
202489,G48003906627001,480396627001,61,5
202490,G48003906627002,480396627002,89,9
202491,G48003906628001,480396628001,69,6
202492,G48003906628002,480396628002,65,6
202493,G48003906628003,480396628003,78,7
202494,G48003906628004,480396628004,68,6
202495,G48003906628005,480396628005,68,6
202496,G48003906628006,480396628006,69,6
202497,G48003906628007,480396628007,69,6
202498,G48003906629001,480396629001,84,8
202499,G48003906629002,480396629002,72,7
202500,G48003906629003,480396629003,59,5
202501,G48003906629004,480396629004,69,6
202502,G48003906630001,480396630001,68,6
202503,G48003906630002,480396630002,61,5
202504,G48003906630003,480396630003, , 
202505,G48003906630004,480396630004,65,6
202506,G48003906631001,480396631001,49,4
202507,G48003906631002,480396631002,43,3
202508,G48003906631003,480396631003, , 
202509,G48003906631004,480396631004,22,1
202510,G48003906632001,480396632001,54,4
202511,G48003906632002,480396632002,75,7
202512,G48003906632003,480396632003,40,3
202513,G48003906633001,480396633001,75,7
202514,G48003906633002,480396633002,76,7
202515,G48003906634001,480396634001,43,3
202516,G48003906634002,480396634002,79,8
202517,G48003906634003,480396634003,61,5
202518,G48003906634004,480396634004,39,3
202519,G48003906635001,480396635001,58,5
202520,G48003906635002,480396635002,60,5
202521,G48003906635003,480396635003,61,5
202522,G48003906635004,480396635004,56,5
202523,G48003906636001,480396636001,37,3
202524,G48003906636002,480396636002,38,3
202525,G48003906636003,480396636003,40,3
202526,G48003906637001,480396637001,56,5
202527,G48003906637002,480396637002,56,5
202528,G48003906638001,480396638001,36,3
202529,G48003906638002,480396638002,41,3
202530,G48003906638003,480396638003,75,7
202531,G48003906638004,480396638004,81,8
202532,G48003906639001,480396639001,83,8
202533,G48003906639002,480396639002,85,8
202534,G48003906640001,480396640001,96,10
202535,G48003906640002,480396640002,78,7
202536,G48003906640003,480396640003,84,8
202537,G48003906641001,480396641001,59,5
202538,G48003906641002,480396641002,60,5
202539,G48003906641003,480396641003,69,6
202540,G48003906641004,480396641004,56,5
202541,G48003906641005,480396641005,64,6
202542,G48003906642001,480396642001,87,9
202543,G48003906642002,480396642002,56,5
202544,G48003906642003,480396642003,51,4
202545,G48003906643001,480396643001,91,9
202546,G48003906643002,480396643002,87,9
202547,G48003906643003,480396643003,86,9
202548,G48003906643004,480396643004,90,9
202549,G48003906643005,480396643005,89,9
202550,G48003906644001,480396644001,88,9
202551,G48003906644002,480396644002,88,9
202552,G48003906644003,480396644003,88,9
202553,G48003906644004,480396644004,88,9
202554,G48003906644005,480396644005,88,9
202555,G48003906645011,480396645011,72,7
202556,G48003906645012,480396645012,66,6
202557,G48003906645013,480396645013,70,7
202558,G48003906645014,480396645014,59,5
202559,G48003906645015,480396645015,65,6
202560,G48003909900000,480399900000, , 
202561,G48004100001031,480410001031,52,4
202562,G48004100001041,480410001041,59,5
202563,G48004100001042,480410001042,44,3
202564,G48004100001043,480410001043,35,3
202565,G48004100001051,480410001051,40,3
202566,G48004100001052,480410001052,31,2
202567,G48004100001061,480410001061,54,4
202568,G48004100001062,480410001062,44,3
202569,G48004100001063,480410001063,39,3
202570,G48004100001071,480410001071,31,2
202571,G48004100001072,480410001072,32,2
202572,G48004100001081,480410001081,26,2
202573,G48004100002031,480410002031,55,5
202574,G48004100002032,480410002032,53,4
202575,G48004100002041,480410002041,82,8
202576,G48004100002042,480410002042,81,8
202577,G48004100002043,480410002043,85,8
202578,G48004100002044,480410002044,77,7
202579,G48004100002045,480410002045,89,9
202580,G48004100002051,480410002051,61,5
202581,G48004100002052,480410002052,88,9
202582,G48004100002053,480410002053, , 
202583,G48004100002061,480410002061,44,3
202584,G48004100002071,480410002071,90,9
202585,G48004100002072,480410002072,40,3
202586,G48004100003011,480410003011,81,8
202587,G48004100003012,480410003012,73,7
202588,G48004100003021,480410003021,77,7
202589,G48004100003022,480410003022,83,8
202590,G48004100004011,480410004011,91,9
202591,G48004100004012,480410004012,77,7
202592,G48004100004013,480410004013, , 
202593,G48004100004021,480410004021,80,8
