FIPS,National Risk Index - Score - Composite,Social Vulnerability - Score,Community Resilience - Score,Cold Wave - Hazard Type Risk Index Score,Drought - Hazard Type Risk Index Score,Hail - Hazard Type Risk Index Score,Heat Wave - Hazard Type Risk Index Score,Hurricane - Hazard Type Risk Index Score,Ice Storm - Hazard Type Risk Index Score,Landslide - Hazard Type Risk Index Score,Lightning - Hazard Type Risk Index Score,Riverine Flooding - Hazard Type Risk Index Score,Strong Wind - Hazard Type Risk Index Score,Tornado - Hazard Type Risk Index Score,Volcanic Activity - Hazard Type Risk Index Score,Wildfire - Hazard Type Risk Index Score,Winter Weather - Hazard Type Risk Index Score
48167725900,99.6076,58.38000107,85.56999969,0,0,64.64229653,74.53503306,92.81830434,20.33246204,49.55609843,71.19190225,99.95837892,26.07025639,68.08614375,,80.97440898,70.43000523
48167726000,98.1841,12.68999958,85.56999969,0,0,49.06293108,57.24206821,86.25470544,7.638990866,0,47.6149976,99.81686724,18.1337107,47.04609238,,91.2797888,53.02882557
48167726101,99.5552,2.950000048,85.56999969,0,0,50.42215669,56.80920896,91.03527334,4.851831184,0,46.792046,99.9548114,19.7926081,44.94720068,,90.32844979,53.12039195
48167726102,99.6575,12.23999977,85.56999969,0,0,55.70684488,50.46853446,92.59987917,5.56404006,0,39.68615237,99.96551396,21.92598583,45.21595396,,85.58840318,47.53246444
48167726200,99.3008,89.91000366,85.56999969,0,78.96232698,74.75027351,75.36864387,99.12320109,27.98320068,68.89352321,89.00814566,99.69438234,40.22142415,81.48813205,,87.06654616,77.34386149
48169950101,68.3275,63,0.07,0,90.47709651,93.63435285,30.01831328,24.26997971,82.84824811,45.20884228,44.79516052,42.31436998,91.43913809,73.04975503,,98.04737668,90.54487942
48169950102,94.6915,74.30999756,0.07,0,99.73124673,98.78466442,45.30276364,30.59501495,85.58401128,93.97485551,68.72065165,38.23669315,97.79170432,90.15958712,,99.22109119,95.52632831
48169980000,22.454,63,0.07,0,74.04866099,62.30913761,35.73823907,1.748950475,40.19501307,0,40.75347389,0,82.28606764,66.80897113,,86.14374732,82.29320268
48171950100,85.0033,55.15000153,40.61000061,0,96.40393854,89.90986063,55.38457879,55.41183214,58.60671385,82.4643985,98.22592238,97.23279266,90.90876659,92.45469248,,97.37668268,98.18532084
48171950200,70.7071,41.68999863,40.61000061,0,92.49869191,80.72230414,54.72101984,50.85433675,20.56007519,90.26395758,97.74197413,89.95742758,77.70299196,79.61518337,,97.47300576,97.67635447
48171950301,61.9821,64.70999908,40.61000061,0,85.08538268,78.2678495,45.47281549,47.98692547,44.85006902,80.41351367,93.3085769,92.56052894,81.871046,79.23940446,,94.23607478,95.94967417
48171950302,70.097,41.63000107,40.61000061,0,79.72101984,82.64044142,54.84231556,51.77915821,57.37760287,86.60072693,98.03186392,91.6698378,89.07624982,90.4913666,,94.48817961,97.89159492
48171950401,53.6389,52.33000183,40.61000061,0,74.86205584,78.36536175,48.59439661,46.46259663,47.92504919,88.73741286,95.52827024,87.57908006,80.18717595,79.71031727,,90.93136089,96.03529468
48171950402,77.6138,88.68000031,40.61000061,0,88.74684869,87.54459402,59.32193312,54.6062925,62.1692267,88.37394983,99.05007187,93.86624174,91.62940589,94.12191409,,95.5084907,98.44456072
48171950500,81.1742,83.67001343,40.61000061,0,92.33220758,88.40912334,59.25296104,57.42568122,63.35428353,83.70493952,98.86080498,93.9946725,93.9494839,96.0341055,,96.45626219,98.78585359
48173950100,86.0617,46.45999908,0.639999986,0,99.73600342,96.29572373,33.33135138,37.28254303,11.28667509,0,46.96334451,25.66118061,97.17452314,57.10888075,,94.67369072,86.63368691
48175960100,94.4787,75.79000092,21.35000038,0,88.20815298,84.63230747,0,96.69883661,77.96264207,82.21891199,89.27527552,90.38671931,68.62127194,86.5801741,,92.39285544,82.72962945
48175960200,93.3751,70.72000122,21.35000038,0,95.65119155,84.68938781,0,96.24649513,73.36926195,57.81564679,81.23263057,89.05246635,66.90291585,78.73400561,,86.60157922,77.95152928
48177000100,97.7608,78.78999329,16.85000038,0,86.6027684,95.46568045,56.56304999,88.89129862,71.03732856,86.75445391,90.83013896,99.6872473,91.86724064,89.31646292,,87.19140941,87.30794844
48177000200,99.6837,91.28999329,16.85000038,0,93.35965371,97.09841602,70.22071065,96.13031153,78.01110165,98.14097599,97.97556301,99.94648718,98.46715502,98.33634591,,93.56181325,95.07087476
48177000300,99.0796,97.81999969,16.85000038,0,0,64.45559625,63.4519336,79.47423048,57.527387,0,94.50047916,99.92151453,85.21143509,84.03415307,,49.75859773,88.16058602
48177000400,68.1884,71.88999939,16.85000038,0,0,54.48556343,48.05807925,75.28232615,43.77074217,0,79.9281265,96.07929411,77.82309851,68.42862579,,38.57798602,78.34276745
48177000500,94.3229,79.70999908,16.85000038,0,91.70313466,94.00537507,61.20677353,86.44214831,65.81103703,68.5550855,93.53617633,99.10574133,92.89468677,92.49869191,,90.72801218,89.25700423
48177000600,98.0938,68.37999725,16.85000038,0,91.0669267,95.93064739,49.82281311,93.90888107,71.74660049,52.64374665,85.28390034,99.51243876,97.12933454,93.7318651,,96.55496361,90.21547829
48179950100,98.3768,65.62000275,23.60000038,0,99.64324787,97.12695619,0,44.43945285,97.09683104,92.52696181,82.20412075,55.23236455,97.20425249,98.83817723,,99.82162394,99.73124673
48179950300,72.4504,51.63000107,23.60000038,0,82.10055653,84.16139466,0,26.64477251,91.63998943,0,75.12697652,42.8435523,91.81372782,96.75831232,,94.76882462,99.5243305
48179950400,82.424,83.35001373,23.60000038,0,88.30328688,87.50297293,0,30.46953666,94.73846515,0,84.63344514,55.54987395,95.40978928,98.99871569,,96.01864624,99.77048946
48179950500,46.7524,53.43999863,23.60000038,0,0,76.4686296,0,17.94804269,82.25939088,0,56.87949209,48.25191457,80.52609047,85.43975646,,83.62626647,98.60272083
48179950600,52.1286,68.91999817,23.60000038,0,83.53232174,77.81596347,0,20.25467445,84.82627977,0,58.67513177,47.59192313,82.48347048,86.06288351,,92.31080245,98.6086667
48179950700,58.3516,76.88999939,23.60000038,0,80.62122437,80.78651953,0,24.67429864,89.50629974,0,55.72592238,39.47343386,86.91314275,88.3068544,,94.2800742,98.69547638
48179950800,56.1326,83.87000275,23.60000038,0,0,79.52480616,0,22.95787957,87.78818761,0,55.10781025,49.63016696,85.01522142,86.9607097,,93.92807877,98.60985587
