ZIP,ADI National Rank,ADI State Rank,Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation,Social Vulnerability Index,National Risk Index (FEMA),Social Vulnerability Score,Community Resilience Score,Longitude,Latitude,Miles to UMC
75707,54.62341626,4.783753665,0.357808292,0.276383417,0.191369009,0.555045575,0.351340194,14.57959713,47.62340225,41.63999939,-95.17099073,32.30479835,398.9625255
75708,89.71750884,8.934798492,0.87,0.876372525,0.84,0.75640308,0.90183207,19.82637162,89.4773562,41.63999939,-95.20716594,32.41437403,395.0623314
75709,51.83047911,4.435458325,0.265648772,0.282995001,0.185190176,0.559980439,0.301277983,16.10148363,37.19007456,41.63999939,-95.38905499,32.3132253,386.4866035
75710,89.2,9.2,0.73,0.84,0.81,0.63,0.79,25.5494,92.37999725,41.63999939,NA,NA,NA
75711,63.75,5.75,0.44,0.45,0.04,0.28,0.32,10.5872,55.95999908,41.63999939,-95.28381844,32.33697529,392.0195209
75712,89.2,9.2,0.73,0.84,0.81,0.63,0.79,25.5494,92.37999725,41.63999939,NA,NA,NA
75713,51.33333333,4,0.15,0.52,0.1,0.6,0.31,5.2621,36.86000061,41.63999939,NA,NA,NA
75750,64.83674236,5.920330703,0.498734105,0.498310875,0.141550579,0.592397039,0.495917631,23.32851543,67.45004118,41.63999939,-95.071245,32.27228035,405.1750997
75751,60.50133585,5.520996385,0.472237487,0.532635634,0.145666182,0.80745434,0.583459943,73.90297565,75.38177237,10.64310575,-95.91667483,32.07863779,361.5238578
75752,60.50133585,5.520996385,0.472237487,0.532635634,0.145666182,0.80745434,0.583459943,73.90297565,75.38177237,10.64310575,-95.80745337,32.24232499,364.2464971
75755,71.77331739,6.883156816,0.434105923,0.448707289,0.104373576,0.591645786,0.440432802,48.67419522,60.10650562,19.17200458,-95.08656991,32.63231475,398.6690658
75757,64.99085628,5.899956971,0.554102637,0.636586334,0.274026084,0.731159626,0.604956053,35.31918234,62.98090202,33.2421403,-95.34930453,32.11583623,392.4504554
75760,81.71900683,8.061552866,0.333974583,0.633717917,0.143621979,0.407788438,0.381057812,81.26705531,65.7230815,16.68141033,-94.85760612,31.80732605,426.4302443
75762,51.83047911,4.435458325,0.265648772,0.282995001,0.185190176,0.559980439,0.301277983,16.10148363,37.19007456,41.63999939,-95.41221392,32.21924536,386.9056624
75763,74.66666667,7.333333333,0.51,0.68,0.11,0.85,0.63,NA,NA,NA,-95.52233537,32.04150809,384.295898
75764,83.33333333,8.333333333,0.56,0.65,0.19,0.93,0.7,59.3897,71.59999847,18.59000015,-95.14367962,31.8952311,408.560971
75765,69.40914447,6.585670516,0.422698934,0.368843314,0.093084495,0.552723544,0.40097621,36.46671616,53.9772647,16.75,-95.23588738,32.64119885,390.0215029
75766,81.40993815,8.060699145,0.737664541,0.756707098,0.421055813,0.807642449,0.790618565,64.84223678,88.25605046,18.59000015,-95.2518403,31.94593313,401.4306948
75770,60,5,0.19,0.4,0.12,0.44,0.26,90.7387,41.97000122,16.18000031,-95.6469673,32.14056618,375.2717191
75771,53.5,4.5,0.33,0.12,0.11,0.86,0.37,21.3528,40.29999924,41.63999939,-95.43007083,32.53544761,380.4869842
75772,84,8,0.46,0.68,0.08,0.8,0.58,59.9558,86.5,18.59000015,NA,NA,NA
75773,67.01946447,6.270116564,0.444653665,0.508192748,0.102464262,0.642972325,0.476404746,39.48092193,62.34152621,22.92831851,-95.44656909,32.67968461,377.4686749
75779,65,6,0.35,0.48,0.16,0.74,0.46,79.6211,74.76999664,16.18000031,-95.48503132,31.86435501,390.2890265
75780,64.33333333,6,0.56,0.44,0.27,0.44,0.46,71.5181,77.5,18.59000015,-95.09121777,31.98910672,409.4906168
75783,67.0464212,6.349018674,0.472775227,0.838062766,0.057230615,0.345807529,0.465380185,42.73842477,65.50810937,16.75,-95.4238376,32.82226492,376.9630431
75784,74.37428249,7.181288136,0.533421017,0.515307119,0.274429831,0.417850847,0.464429831,63.77387031,74.11117898,17.79706009,-94.96233556,31.873437,419.1454796
75785,73.90337864,7.130742726,0.541679456,0.50386929,0.276540145,0.781356543,0.593844054,59.27794262,79.41676898,18.59000015,-95.17451676,31.76638319,409.7560417
75788,79,7.75,0.22,0.65,0.05,0.42,0.32,99.9608,62.88999939,16.60000038,-94.91614577,31.82253888,422.8335069
